Name: Avenue Léon Bollée, Instruction: Head northeast on Avenue Léon Bollée, Distance: 177.6 meters, Time: 127.9 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn slight left, Distance: 57.1 meters, Time: 41.1 seconds
Name: -, Instruction: Turn slight right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Keep right, Distance: 31.3 meters, Time: 22.5 seconds
Name: -, Instruction: Keep right, Distance: 382.8 meters, Time: 275.6 seconds
Name: -, Instruction: Turn right, Distance: 167.7 meters, Time: 120.7 seconds
Name: -, Instruction: Turn left, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Turn right, Distance: 13.8 meters, Time: 9.9 seconds
Name: Avenue de la Porte d'Ivry, Instruction: Keep right onto Avenue de la Porte d'Ivry, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn slight right, Distance: 41.4 meters, Time: 29.8 seconds
Name: -, Instruction: Turn right, Distance: 15.7 meters, Time: 11.3 seconds
Name: Rue André Voguet, Instruction: Turn left onto Rue André Voguet, Distance: 26.3 meters, Time: 18.9 seconds
Name: Rue André Voguet, Instruction: Turn right onto Rue André Voguet, Distance: 126.3 meters, Time: 90.9 seconds
Name: -, Instruction: Turn left, Distance: 48.4 meters, Time: 34.9 seconds
Name: Allée Allain Leprest, Instruction: Turn right onto Allée Allain Leprest, Distance: 108.2 meters, Time: 77.9 seconds
Name: Rue René Villars, Instruction: Turn left onto Rue René Villars, Distance: 3.9 meters, Time: 2.8 seconds
Name: Escalier Nathalie Lemel, Instruction: Turn right onto Escalier Nathalie Lemel, Distance: 62.9 meters, Time: 45.3 seconds
Name: Rue Antoine Thomas, Instruction: Turn right onto Rue Antoine Thomas, Distance: 75.8 meters, Time: 54.6 seconds
Name: Rue Antoine Thomas, Instruction: Turn left onto Rue Antoine Thomas, Distance: 50.0 meters, Time: 36.0 seconds
Name: Rue Mirabeau, Instruction: Turn right onto Rue Mirabeau, Distance: 416.6 meters, Time: 299.9 seconds
Name: Rue Ledru-Rollin, Instruction: Turn left onto Rue Ledru-Rollin, Distance: 248.4 meters, Time: 178.9 seconds
Name: Rue Germaine Tillion, Instruction: Turn right onto Rue Germaine Tillion, Distance: 90.7 meters, Time: 65.3 seconds
Name: -, Instruction: Turn left, Distance: 44.6 meters, Time: 32.1 seconds
Name: -, Instruction: Turn right, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Turn left, Distance: 25.4 meters, Time: 18.3 seconds
Name: -, Instruction: Turn left, Distance: 34.2 meters, Time: 24.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
