Name: Rua Onil Machado Githay, Instruction: Head south on Rua Onil Machado Githay, Distance: 214.6 meters, Time: 154.5 seconds
Name: -, Instruction: Turn right, Distance: 19.5 meters, Time: 14.0 seconds
Name: Avenida Brigadeiro Eduardo Gomes, Instruction: Turn left onto Avenida Brigadeiro Eduardo Gomes, Distance: 56.1 meters, Time: 40.4 seconds
Name: Rua Clodomir Lucas dos Reis, Instruction: Turn right onto Rua Clodomir Lucas dos Reis, Distance: 68.5 meters, Time: 49.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 78.2 meters, Time: 56.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 44.6 meters, Time: 32.1 seconds
Name: Avenida Eduardo Palha, Instruction: Turn sharp left onto Avenida Eduardo Palha, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 137.5 meters, Time: 99.0 seconds
Name: Rua da Comunidade, Instruction: Turn left onto Rua da Comunidade, Distance: 52.1 meters, Time: 37.5 seconds
Name: -, Instruction: Turn right, Distance: 21.7 meters, Time: 15.6 seconds
Name: Rua Beira Lima, Instruction: Turn left onto Rua Beira Lima, Distance: 278.7 meters, Time: 200.6 seconds
Name: Estrada do Guerenguê, Instruction: Turn right onto Estrada do Guerenguê, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn left, Distance: 168.5 meters, Time: 121.3 seconds
Name: -, Instruction: Keep left, Distance: 73.9 meters, Time: 53.2 seconds
Name: Rua André Rocha, Instruction: Turn left onto Rua André Rocha, Distance: 84.8 meters, Time: 61.0 seconds
Name: Rua André Rocha, Instruction: Keep right onto Rua André Rocha, Distance: 64.0 meters, Time: 46.1 seconds
Name: -, Instruction: Turn right, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn left, Distance: 12.6 meters, Time: 9.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
