Name: Estrada do Cafundá, Instruction: Head east on Estrada do Cafundá, Distance: 264.9 meters, Time: 190.7 seconds
Name: Rua Atininga, Instruction: Keep left onto Rua Atininga, Distance: 205.0 meters, Time: 147.6 seconds
Name: Rua Brigadeiro João Manuel, Instruction: Turn right onto Rua Brigadeiro João Manuel, Distance: 482.0 meters, Time: 347.0 seconds
Name: Rua Godofredo Viana, Instruction: Turn left onto Rua Godofredo Viana, Distance: 1076.1 meters, Time: 774.8 seconds
Name: Rua Cândido Benício, Instruction: Turn left onto Rua Cândido Benício, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.2 seconds
Name: Rua Cândido Benício, Instruction: Turn left onto Rua Cândido Benício, Distance: 629.7 meters, Time: 453.4 seconds
Name: -, Instruction: Turn right, Distance: 48.6 meters, Time: 35.0 seconds
Name: -, Instruction: Turn right, Distance: 97.1 meters, Time: 69.9 seconds
Name: -, Instruction: Turn right, Distance: 21.8 meters, Time: 15.7 seconds
Name: -, Instruction: Turn left, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
