Name: Perry Street, Instruction: Head north on Perry Street, Distance: 176.8 meters, Time: 127.3 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 119.0 meters, Time: 85.6 seconds
Name: -, Instruction: Turn left, Distance: 141.7 meters, Time: 102.0 seconds
Name: -, Instruction: Turn right, Distance: 84.8 meters, Time: 61.0 seconds
Name: Mill Drive, Instruction: Turn left onto Mill Drive, Distance: 167.4 meters, Time: 120.5 seconds
Name: Larra Crescent, Instruction: Turn right onto Larra Crescent, Distance: 65.4 meters, Time: 47.1 seconds
Name: -, Instruction: Turn left, Distance: 265.3 meters, Time: 191.0 seconds
Name: -, Instruction: Turn right, Distance: 234.9 meters, Time: 169.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 97.8 meters, Time: 70.4 seconds
Name: -, Instruction: Turn left, Distance: 196.4 meters, Time: 141.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
