Name: Lombard Street, Instruction: Head east on Lombard Street, Distance: 92.2 meters, Time: 66.4 seconds
Name: -, Instruction: Turn left, Distance: 148.4 meters, Time: 106.8 seconds
Name: -, Instruction: Turn right, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 45.8 meters, Time: 32.9 seconds
Name: -, Instruction: Turn left, Distance: 114.5 meters, Time: 82.5 seconds
Name: -, Instruction: Turn right, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn slight left, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn slight right, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: Mutual Street, Instruction: Turn left onto Mutual Street, Distance: 209.2 meters, Time: 150.6 seconds
Name: -, Instruction: Turn right, Distance: 80.9 meters, Time: 58.2 seconds
Name: -, Instruction: Turn left, Distance: 49.5 meters, Time: 35.7 seconds
Name: -, Instruction: Turn right, Distance: 226.5 meters, Time: 163.1 seconds
Name: -, Instruction: Keep left, Distance: 64.9 meters, Time: 46.8 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 242.0 meters, Time: 174.3 seconds
Name: -, Instruction: Turn right, Distance: 306.4 meters, Time: 220.6 seconds
Name: -, Instruction: Turn left, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn slight right, Distance: 43.1 meters, Time: 31.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
