Name: Hart House Circle, Instruction: Head west on Hart House Circle, Distance: 21.8 meters, Time: 15.7 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 52.5 meters, Time: 37.8 seconds
Name: -, Instruction: Turn right, Distance: 19.1 meters, Time: 13.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 137.2 meters, Time: 98.8 seconds
Name: -, Instruction: Turn right, Distance: 120.3 meters, Time: 86.6 seconds
Name: -, Instruction: Turn left, Distance: 66.4 meters, Time: 47.8 seconds
Name: -, Instruction: Turn right, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 79.5 meters, Time: 57.2 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 35.7 meters, Time: 25.7 seconds
Name: -, Instruction: Keep left, Distance: 56.1 meters, Time: 40.4 seconds
Name: -, Instruction: Keep right, Distance: 69.9 meters, Time: 50.3 seconds
Name: -, Instruction: Turn right, Distance: 388.1 meters, Time: 279.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
