Name: Mollusc Road, Instruction: Head north on Mollusc Road, Distance: 84.1 meters, Time: 60.5 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.5 seconds
Name: Rangihina Road, Instruction: Turn left onto Rangihina Road, Distance: 55.0 meters, Time: 39.6 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn slight left, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Continue straight, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Continue straight, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn slight left, Distance: 208.3 meters, Time: 150.0 seconds
Name: -, Instruction: Turn right, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn slight right, Distance: 6.1 meters, Time: 4.4 seconds
Name: Onekiritea Road, Instruction: Turn left onto Onekiritea Road, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 72.0 meters, Time: 51.8 seconds
Name: -, Instruction: Turn right, Distance: 126.4 meters, Time: 91.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
