Name: Allée des Prunus, Instruction: Head west on Allée des Prunus, Distance: 36.5 meters, Time: 26.2 seconds
Name: Allée du Calvaire, Instruction: Turn left onto Allée du Calvaire, Distance: 65.4 meters, Time: 47.1 seconds
Name: Allée du Four, Instruction: Turn left onto Allée du Four, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 39.8 meters, Time: 28.7 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 20.2 meters, Time: 14.6 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 197.2 meters, Time: 142.0 seconds
Name: -, Instruction: Turn right, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 71.2 meters, Time: 51.3 seconds
Name: -, Instruction: Turn left, Distance: 77.2 meters, Time: 55.6 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: Rue Edmond Rousse, Instruction: Turn left onto Rue Edmond Rousse, Distance: 12.1 meters, Time: 8.7 seconds
Name: Boulevard Brune, Instruction: Turn sharp right onto Boulevard Brune, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 65.3 meters, Time: 47.0 seconds
Name: -, Instruction: Turn left, Distance: 40.4 meters, Time: 29.1 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 70.4 meters, Time: 50.7 seconds
Name: -, Instruction: Turn right, Distance: 43.2 meters, Time: 31.1 seconds
Name: -, Instruction: Turn right, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: Avenue du Général Leclerc, Instruction: Turn left onto Avenue du Général Leclerc, Distance: 17.2 meters, Time: 12.4 seconds
Name: Rue Sarrette, Instruction: Turn right onto Rue Sarrette, Distance: 586.2 meters, Time: 422.1 seconds
Name: Rue de la Tombe Issoire, Instruction: Turn left onto Rue de la Tombe Issoire, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn right, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Keep right, Distance: 221.1 meters, Time: 159.2 seconds
Name: -, Instruction: Turn slight right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn slight right, Distance: 17.6 meters, Time: 12.7 seconds
Name: Allée Samuel Beckett, Instruction: Continue straight onto Allée Samuel Beckett, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Keep right, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 61.8 meters, Time: 44.5 seconds
Name: -, Instruction: Turn left, Distance: 135.4 meters, Time: 97.5 seconds
Name: -, Instruction: Turn left, Distance: 11.7 meters, Time: 8.4 seconds
Name: Rue Broussais, Instruction: Turn left onto Rue Broussais, Distance: 9.6 meters, Time: 6.9 seconds
Name: Rue Dareau, Instruction: Turn right onto Rue Dareau, Distance: 245.0 meters, Time: 176.4 seconds
Name: Boulevard Saint-Jacques, Instruction: Turn slight left onto Boulevard Saint-Jacques, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Keep right, Distance: 93.5 meters, Time: 67.3 seconds
Name: -, Instruction: Turn left, Distance: 26.7 meters, Time: 19.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
