Name: Havelock Road, Instruction: Head east on Havelock Road, Distance: 186.1 meters, Time: 134.0 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 38.3 meters, Time: 27.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 37.0 meters, Time: 26.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 24.5 meters, Time: 17.6 seconds
Name: -, Instruction: Turn right, Distance: 180.0 meters, Time: 129.6 seconds
Name: -, Instruction: Turn slight left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 55.8 meters, Time: 40.2 seconds
Name: Robertson Quay, Instruction: Turn right onto Robertson Quay, Distance: 91.4 meters, Time: 65.8 seconds
Name: -, Instruction: Turn left, Distance: 58.7 meters, Time: 42.3 seconds
Name: Robertson Quay, Instruction: Turn right onto Robertson Quay, Distance: 20.8 meters, Time: 14.9 seconds
Name: Robertson Quay, Instruction: Turn left onto Robertson Quay, Distance: 225.6 meters, Time: 162.4 seconds
Name: -, Instruction: Arrive at Robertson Quay, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
