Name: Brumell Avenue, Instruction: Head north on Brumell Avenue, Distance: 8.5 meters, Time: 6.1 seconds
Name: Baby Point Road, Instruction: Turn right onto Baby Point Road, Distance: 190.3 meters, Time: 137.0 seconds
Name: -, Instruction: Turn right, Distance: 12.3 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 20.3 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 226.8 meters, Time: 163.3 seconds
Name: -, Instruction: Turn right, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 27.1 meters, Time: 19.5 seconds
Name: -, Instruction: Keep right, Distance: 39.8 meters, Time: 28.6 seconds
Name: -, Instruction: Turn left, Distance: 182.3 meters, Time: 131.3 seconds
Name: Durie Street, Instruction: Turn right onto Durie Street, Distance: 236.2 meters, Time: 170.0 seconds
Name: -, Instruction: Turn left, Distance: 186.5 meters, Time: 134.3 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.8 seconds
Name: Ardagh Street, Instruction: Turn left onto Ardagh Street, Distance: 35.2 meters, Time: 25.3 seconds
Name: -, Instruction: Turn right, Distance: 96.1 meters, Time: 69.2 seconds
Name: -, Instruction: Turn left, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 232.4 meters, Time: 167.4 seconds
Name: Colbeck Street, Instruction: Turn left onto Colbeck Street, Distance: 79.6 meters, Time: 57.3 seconds
Name: Kennedy Avenue, Instruction: Turn sharp right onto Kennedy Avenue, Distance: 355.7 meters, Time: 256.1 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 52.2 meters, Time: 37.6 seconds
Name: -, Instruction: Turn left, Distance: 94.1 meters, Time: 67.7 seconds
Name: -, Instruction: Turn right, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
