Name: Rawson Road, Instruction: Head east on Rawson Road, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 88.7 meters, Time: 63.9 seconds
Name: Valencia Street, Instruction: Turn left onto Valencia Street, Distance: 311.3 meters, Time: 224.1 seconds
Name: -, Instruction: Turn right, Distance: 82.5 meters, Time: 59.4 seconds
Name: -, Instruction: Turn left, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Turn right, Distance: 1332.8 meters, Time: 959.6 seconds
Name: -, Instruction: Turn right, Distance: 99.7 meters, Time: 71.8 seconds
Name: -, Instruction: Turn right, Distance: 12.7 meters, Time: 9.2 seconds
Name: -, Instruction: Turn slight left, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Turn right, Distance: 28.8 meters, Time: 20.7 seconds
Name: -, Instruction: Turn slight left, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
