Name: Rue du Conseiller Collignon, Instruction: Head south on Rue du Conseiller Collignon, Distance: 27.8 meters, Time: 20.0 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 143.5 meters, Time: 103.3 seconds
Name: -, Instruction: Turn slight left, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 16.2 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.6 seconds
Name: -, Instruction: Turn slight right, Distance: 34.6 meters, Time: 24.9 seconds
Name: -, Instruction: Turn right, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn left, Distance: 70.9 meters, Time: 51.1 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 42.2 meters, Time: 30.4 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.4 seconds
Name: -, Instruction: Keep right, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Keep left, Distance: 86.1 meters, Time: 62.0 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.6 seconds
Name: Rue des Vignes, Instruction: Turn left onto Rue des Vignes, Distance: 6.9 meters, Time: 5.0 seconds
Name: Rue de Boulainvilliers, Instruction: Keep right onto Rue de Boulainvilliers, Distance: 271.7 meters, Time: 195.6 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn slight right, Distance: 136.8 meters, Time: 98.5 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn slight right, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn slight left, Distance: 207.5 meters, Time: 149.4 seconds
Name: -, Instruction: Turn right, Distance: 40.5 meters, Time: 29.2 seconds
Name: -, Instruction: Turn slight left, Distance: 267.5 meters, Time: 192.6 seconds
Name: Port de Grenelle, Instruction: Turn right onto Port de Grenelle, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Arrive at Port de Grenelle, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
