Name: Patricia Street, Instruction: Head north on Patricia Street, Distance: 52.4 meters, Time: 37.8 seconds
Name: Dorothy Street, Instruction: Turn right onto Dorothy Street, Distance: 314.3 meters, Time: 226.3 seconds
Name: Primrose Avenue, Instruction: Turn right onto Primrose Avenue, Distance: 76.6 meters, Time: 55.2 seconds
Name: -, Instruction: Turn left, Distance: 143.2 meters, Time: 103.1 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn left, Distance: 51.8 meters, Time: 37.3 seconds
Name: -, Instruction: Turn left, Distance: 60.1 meters, Time: 43.3 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.3 seconds
Name: South Street, Instruction: Turn right onto South Street, Distance: 12.6 meters, Time: 9.1 seconds
Name: River Road, Instruction: Turn left onto River Road, Distance: 70.3 meters, Time: 50.6 seconds
Name: Coffey Street, Instruction: Turn right onto Coffey Street, Distance: 81.6 meters, Time: 58.8 seconds
Name: Coffey Street, Instruction: Keep right onto Coffey Street, Distance: 33.0 meters, Time: 23.8 seconds
Name: Hilder Road, Instruction: Turn slight right onto Hilder Road, Distance: 59.3 meters, Time: 42.7 seconds
Name: Hilder Road, Instruction: Keep left onto Hilder Road, Distance: 23.4 meters, Time: 16.9 seconds
Name: Tristram Street, Instruction: Turn slight left onto Tristram Street, Distance: 264.1 meters, Time: 190.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn slight left, Distance: 862.7 meters, Time: 621.2 seconds
Name: -, Instruction: Turn left, Distance: 185.5 meters, Time: 133.5 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.9 seconds
Name: Hope Street, Instruction: Turn right onto Hope Street, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 9.4 meters, Time: 6.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
