Name: Pringle Road, Instruction: Head northwest on Pringle Road, Distance: 125.3 meters, Time: 90.2 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 60.3 meters, Time: 43.4 seconds
Name: -, Instruction: Turn right, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Turn left, Distance: 248.2 meters, Time: 178.7 seconds
Name: -, Instruction: Keep left, Distance: 121.4 meters, Time: 87.4 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: Te Atatū Road, Instruction: Turn right onto Te Atatū Road, Distance: 1.9 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 528.0 meters, Time: 380.2 seconds
Name: -, Instruction: Turn right, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 235.9 meters, Time: 169.8 seconds
Name: -, Instruction: Turn left, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Turn left, Distance: 142.2 meters, Time: 102.4 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: Te Atatū Road, Instruction: Turn right onto Te Atatū Road, Distance: 448.7 meters, Time: 323.0 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 43.0 meters, Time: 30.9 seconds
Name: -, Instruction: Turn left, Distance: 33.8 meters, Time: 24.3 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.1 seconds
Name: Chapman Road, Instruction: Turn left onto Chapman Road, Distance: 159.7 meters, Time: 114.9 seconds
Name: -, Instruction: Turn slight right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
