Name: Harding Avenue, Instruction: Head north on Harding Avenue, Distance: 837.2 meters, Time: 602.8 seconds
Name: Burt Road, Instruction: Turn left onto Burt Road, Distance: 84.0 meters, Time: 60.5 seconds
Name: Rutland Road, Instruction: Turn right onto Rutland Road, Distance: 282.5 meters, Time: 203.4 seconds
Name: Harris Road, Instruction: Turn left onto Harris Road, Distance: 162.5 meters, Time: 117.0 seconds
Name: -, Instruction: Turn right, Distance: 295.4 meters, Time: 212.7 seconds
Name: -, Instruction: Turn right, Distance: 476.8 meters, Time: 343.3 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.8 seconds
Name: Harrison Road, Instruction: Turn left onto Harrison Road, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 186.6 meters, Time: 134.4 seconds
Name: -, Instruction: Keep right, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Keep left, Distance: 153.6 meters, Time: 110.6 seconds
Name: Alana Place, Instruction: Turn left onto Alana Place, Distance: 128.7 meters, Time: 92.7 seconds
Name: -, Instruction: Arrive at Alana Place, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
