Name: Teck Whye Lane, Instruction: Head northwest on Teck Whye Lane, Distance: 65.9 meters, Time: 47.5 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 117.0 meters, Time: 84.2 seconds
Name: -, Instruction: Turn slight left, Distance: 52.6 meters, Time: 37.8 seconds
Name: -, Instruction: Turn right, Distance: 25.2 meters, Time: 18.2 seconds
Name: -, Instruction: Turn slight left, Distance: 73.9 meters, Time: 53.2 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: Choa Chu Kang Central, Instruction: Turn right onto Choa Chu Kang Central, Distance: 358.7 meters, Time: 258.2 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 131.0 meters, Time: 94.3 seconds
Name: -, Instruction: Turn slight left, Distance: 37.8 meters, Time: 27.2 seconds
Name: -, Instruction: Keep right, Distance: 95.4 meters, Time: 68.7 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Turn left, Distance: 22.0 meters, Time: 15.8 seconds
Name: -, Instruction: Turn slight right, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 317.1 meters, Time: 228.3 seconds
Name: -, Instruction: Turn left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
