Name: Hill End Road, Instruction: Head northwest on Hill End Road, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn slight left, Distance: 698.2 meters, Time: 502.7 seconds
Name: -, Instruction: Turn left, Distance: 17.3 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 53.0 meters, Time: 38.2 seconds
Name: -, Instruction: Keep right, Distance: 169.3 meters, Time: 121.9 seconds
Name: -, Instruction: Turn slight left, Distance: 211.9 meters, Time: 152.5 seconds
Name: -, Instruction: Turn right, Distance: 69.0 meters, Time: 49.7 seconds
Name: -, Instruction: Turn right, Distance: 42.6 meters, Time: 30.7 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 398.3 meters, Time: 286.8 seconds
Name: -, Instruction: Turn slight right, Distance: 73.8 meters, Time: 53.1 seconds
Name: Narcissus Avenue, Instruction: Turn left onto Narcissus Avenue, Distance: 9.0 meters, Time: 6.5 seconds
Name: Tallagandra Drive, Instruction: Turn right onto Tallagandra Drive, Distance: 173.5 meters, Time: 124.9 seconds
Name: Dahlia Street, Instruction: Turn left onto Dahlia Street, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
