Name: Swan Lane, Instruction: Head southwest on Swan Lane, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn slight right, Distance: 527.9 meters, Time: 380.1 seconds
Name: -, Instruction: Keep right, Distance: 304.7 meters, Time: 219.4 seconds
Name: -, Instruction: Turn right, Distance: 178.2 meters, Time: 128.3 seconds
Name: -, Instruction: Keep left, Distance: 161.4 meters, Time: 116.2 seconds
Name: -, Instruction: Keep left, Distance: 311.0 meters, Time: 223.9 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: Waipareira Avenue, Instruction: Turn left onto Waipareira Avenue, Distance: 68.6 meters, Time: 49.4 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Keep right, Distance: 50.8 meters, Time: 36.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
