Name: حارة عونى, Instruction: Head southwest on حارة عونى, Distance: 21.3 meters, Time: 15.3 seconds
Name: شارع الوسط, Instruction: Turn right onto شارع الوسط, Distance: 65.3 meters, Time: 47.0 seconds
Name: شارع المتحف, Instruction: Turn right onto شارع المتحف, Distance: 65.7 meters, Time: 47.3 seconds
Name: -, Instruction: Keep left, Distance: 8.1 meters, Time: 5.9 seconds
Name: -, Instruction: Keep left, Distance: 32.0 meters, Time: 23.1 seconds
Name: شارع منصور, Instruction: Turn slight left onto شارع منصور, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 30.7 meters, Time: 22.1 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 224.4 meters, Time: 161.5 seconds
Name: شارع منصور, Instruction: Turn right onto شارع منصور, Distance: 34.1 meters, Time: 24.6 seconds
Name: -, Instruction: Turn right, Distance: 73.6 meters, Time: 53.0 seconds
Name: شارع شركه النصر, Instruction: Turn left onto شارع شركه النصر, Distance: 70.0 meters, Time: 50.4 seconds
Name: -, Instruction: Turn right, Distance: 223.6 meters, Time: 161.0 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 86.3 meters, Time: 62.1 seconds
Name: -, Instruction: Turn left, Distance: 41.2 meters, Time: 29.7 seconds
Name: -, Instruction: Turn right, Distance: 66.7 meters, Time: 48.0 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
