Name: President Avenue, Instruction: Head east on President Avenue, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 220.9 meters, Time: 159.1 seconds
Name: Flora Street, Instruction: Turn right onto Flora Street, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 22.4 meters, Time: 16.1 seconds
Name: Oak Road, Instruction: Turn slight left onto Oak Road, Distance: 156.0 meters, Time: 112.3 seconds
Name: -, Instruction: Turn slight right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 41.9 meters, Time: 30.1 seconds
Name: Princes Highway, Instruction: Turn left onto Princes Highway, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 396.6 meters, Time: 285.6 seconds
Name: -, Instruction: Turn slight left, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Continue straight, Distance: 127.1 meters, Time: 91.5 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: Oak Road, Instruction: Turn right onto Oak Road, Distance: 440.9 meters, Time: 317.5 seconds
Name: Stirling Avenue, Instruction: Turn right onto Stirling Avenue, Distance: 73.9 meters, Time: 53.2 seconds
Name: -, Instruction: Arrive at Stirling Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
