Name: شارع خلف العبور, Instruction: Head north on شارع خلف العبور, Distance: 118.7 meters, Time: 85.5 seconds
Name: -, Instruction: Turn right, Distance: 228.8 meters, Time: 164.7 seconds
Name: شارع احسان عبد القدوس, Instruction: Turn sharp right onto شارع احسان عبد القدوس, Distance: 206.5 meters, Time: 148.7 seconds
Name: شارع احسان عبد القدوس, Instruction: Turn left onto شارع احسان عبد القدوس, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn right, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 176.3 meters, Time: 126.9 seconds
Name: -, Instruction: Turn left, Distance: 12.3 meters, Time: 8.9 seconds
Name: شارع احسان عبد القدوس, Instruction: Turn right onto شارع احسان عبد القدوس, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Turn right, Distance: 12.3 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 51.0 meters, Time: 36.7 seconds
Name: -, Instruction: Turn left, Distance: 14.0 meters, Time: 10.1 seconds
Name: شارع احسان عبد القدوس, Instruction: Turn right onto شارع احسان عبد القدوس, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 76.8 meters, Time: 55.3 seconds
Name: -, Instruction: Turn left, Distance: 9.4 meters, Time: 6.8 seconds
Name: شارع احسان عبد القدوس, Instruction: Turn right onto شارع احسان عبد القدوس, Distance: 15.2 meters, Time: 11.0 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 134.8 meters, Time: 97.1 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.8 seconds
Name: شارع احسان عبد القدوس, Instruction: Turn right onto شارع احسان عبد القدوس, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Arrive at شارع احسان عبد القدوس, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
