Name: Defu Lane 11, Instruction: Head north on Defu Lane 11, Distance: 66.2 meters, Time: 47.7 seconds
Name: -, Instruction: Turn left, Distance: 93.9 meters, Time: 67.6 seconds
Name: -, Instruction: Turn right, Distance: 21.6 meters, Time: 15.5 seconds
Name: -, Instruction: Turn left, Distance: 31.6 meters, Time: 22.7 seconds
Name: Hougang Ave 3 Park Connector, Instruction: Turn left onto Hougang Ave 3 Park Connector, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Turn right, Distance: 648.6 meters, Time: 467.0 seconds
Name: Paya Lebar Park Connector, Instruction: Turn right onto Paya Lebar Park Connector, Distance: 39.2 meters, Time: 28.3 seconds
Name: -, Instruction: Turn right, Distance: 59.1 meters, Time: 42.6 seconds
Name: -, Instruction: Turn slight left, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Keep right, Distance: 32.5 meters, Time: 23.4 seconds
Name: -, Instruction: Keep left, Distance: 54.5 meters, Time: 39.2 seconds
Name: -, Instruction: Turn right, Distance: 479.0 meters, Time: 344.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
