Name: Place des Antilles, Instruction: Head southwest on Place des Antilles, Distance: 49.9 meters, Time: 36.0 seconds
Name: -, Instruction: Turn right, Distance: 68.3 meters, Time: 49.2 seconds
Name: Place de la Nation, Instruction: Turn right onto Place de la Nation, Distance: 247.5 meters, Time: 178.2 seconds
Name: -, Instruction: Turn right, Distance: 192.9 meters, Time: 138.9 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn slight left, Distance: 190.2 meters, Time: 136.9 seconds
Name: -, Instruction: Turn slight right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn slight left, Distance: 84.3 meters, Time: 60.7 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 153.8 meters, Time: 110.7 seconds
Name: -, Instruction: Turn left, Distance: 391.8 meters, Time: 282.1 seconds
Name: -, Instruction: Keep left, Distance: 199.0 meters, Time: 143.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 23.8 meters, Time: 17.1 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Keep left, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Turn left, Distance: 159.9 meters, Time: 115.1 seconds
Name: -, Instruction: Turn right, Distance: 27.6 meters, Time: 19.9 seconds
Name: Rue Pétion, Instruction: Turn left onto Rue Pétion, Distance: 103.0 meters, Time: 74.1 seconds
Name: -, Instruction: Arrive at Rue Pétion, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
