Name: Brookview Drive, Instruction: Head southwest on Brookview Drive, Distance: 10.4 meters, Time: 7.5 seconds
Name: Hikuawa Road, Instruction: Enter the roundabout and take the 3rd exit onto Hikuawa Road, Distance: 302.8 meters, Time: 218.0 seconds
Name: Broadhurst Drive, Instruction: Enter the roundabout and take the 1st exit onto Broadhurst Drive, Distance: 100.3 meters, Time: 72.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 33.9 meters, Time: 24.4 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 16.7 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 53.7 meters, Time: 38.7 seconds
Name: -, Instruction: Turn left, Distance: 80.3 meters, Time: 57.8 seconds
Name: -, Instruction: Turn slight left, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 38.3 meters, Time: 27.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
