Name: Hinemoa Street, Instruction: Head northwest on Hinemoa Street, Distance: 206.7 meters, Time: 148.8 seconds
Name: Wakanui Street, Instruction: Turn right onto Wakanui Street, Distance: 123.6 meters, Time: 89.0 seconds
Name: -, Instruction: Turn right, Distance: 127.7 meters, Time: 92.0 seconds
Name: -, Instruction: Keep left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn slight left, Distance: 246.0 meters, Time: 177.1 seconds
Name: -, Instruction: Continue straight, Distance: 188.9 meters, Time: 136.0 seconds
Name: -, Instruction: Turn left, Distance: 16.7 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 491.6 meters, Time: 353.9 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Keep right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn left, Distance: 155.1 meters, Time: 111.7 seconds
Name: Onewa Road Shared Path, Instruction: Turn sharp right onto Onewa Road Shared Path, Distance: 28.0 meters, Time: 20.2 seconds
Name: -, Instruction: Turn left, Distance: 261.2 meters, Time: 188.1 seconds
Name: -, Instruction: Keep left, Distance: 194.5 meters, Time: 140.0 seconds
Name: -, Instruction: Keep right, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 139.6 meters, Time: 100.5 seconds
Name: -, Instruction: Turn left, Distance: 41.3 meters, Time: 29.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
