Name: Lincoln Road, 19, Instruction: Head north on Lincoln Road, 19, Distance: 28.3 meters, Time: 20.3 seconds
Name: Fairdene Avenue, Instruction: Turn left onto Fairdene Avenue, Distance: 374.2 meters, Time: 269.4 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 98.5 meters, Time: 70.9 seconds
Name: -, Instruction: Keep right, Distance: 35.2 meters, Time: 25.4 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: Edwards Avenue, Instruction: Turn right onto Edwards Avenue, Distance: 78.3 meters, Time: 56.4 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 65.1 meters, Time: 46.9 seconds
Name: -, Instruction: Turn left, Distance: 95.2 meters, Time: 68.6 seconds
Name: -, Instruction: Turn right, Distance: 135.6 meters, Time: 97.6 seconds
Name: -, Instruction: Turn right, Distance: 73.6 meters, Time: 53.0 seconds
Name: -, Instruction: Turn left, Distance: 141.1 meters, Time: 101.6 seconds
Name: -, Instruction: Turn right, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Turn left, Distance: 174.9 meters, Time: 125.9 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Keep left, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 138.8 meters, Time: 100.0 seconds
Name: -, Instruction: Turn left, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
