Name: Passage Sainte-Élisabeth, Instruction: Head northwest on Passage Sainte-Élisabeth, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 93.2 meters, Time: 67.1 seconds
Name: -, Instruction: Turn slight left, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Keep right, Distance: 85.6 meters, Time: 61.7 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 58.4 meters, Time: 42.1 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.7 seconds
Name: Rue du Temple, Instruction: Turn right onto Rue du Temple, Distance: 238.6 meters, Time: 171.8 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 55.7 meters, Time: 40.1 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 0.9 meters, Time: 0.6 seconds
Name: -, Instruction: Keep left, Distance: 107.1 meters, Time: 77.1 seconds
Name: -, Instruction: Turn right, Distance: 150.0 meters, Time: 108.0 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn slight right, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Keep right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 191.6 meters, Time: 138.0 seconds
Name: -, Instruction: Turn right, Distance: 51.2 meters, Time: 36.9 seconds
Name: -, Instruction: Turn left, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: Rue du Marché des Blancs-Manteaux, Instruction: Turn left onto Rue du Marché des Blancs-Manteaux, Distance: 48.1 meters, Time: 34.6 seconds
Name: Rue des Hospitalières-Saint-Gervais, Instruction: Turn right onto Rue des Hospitalières-Saint-Gervais, Distance: 26.5 meters, Time: 19.1 seconds
Name: Rue des Rosiers, Instruction: Turn left onto Rue des Rosiers, Distance: 58.7 meters, Time: 42.3 seconds
Name: Rue des Écouffes, Instruction: Turn right onto Rue des Écouffes, Distance: 139.7 meters, Time: 100.6 seconds
Name: Passage Walter Benjamin, Instruction: Continue straight onto Passage Walter Benjamin, Distance: 219.7 meters, Time: 158.2 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn slight left, Distance: 111.7 meters, Time: 80.4 seconds
Name: -, Instruction: Turn right, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 146.0 meters, Time: 105.1 seconds
Name: -, Instruction: Turn right, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 66.4 meters, Time: 47.8 seconds
Name: -, Instruction: Turn left, Distance: 0.9 meters, Time: 0.6 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Keep left, Distance: 118.2 meters, Time: 85.1 seconds
Name: -, Instruction: Turn slight left, Distance: 1.5 meters, Time: 1.0 seconds
Name: -, Instruction: Keep right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn left, Distance: 80.4 meters, Time: 57.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
