Name: Orchard Road, Instruction: Head north on Orchard Road, Distance: 91.1 meters, Time: 65.6 seconds
Name: Seldon Lane, Instruction: Turn sharp left onto Seldon Lane, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 61.6 meters, Time: 44.4 seconds
Name: -, Instruction: Continue straight, Distance: 35.2 meters, Time: 25.4 seconds
Name: -, Instruction: Continue straight, Distance: 138.8 meters, Time: 100.0 seconds
Name: -, Instruction: Keep right, Distance: 47.7 meters, Time: 34.3 seconds
Name: -, Instruction: Keep right, Distance: 54.6 meters, Time: 39.3 seconds
Name: -, Instruction: Turn left, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 100.2 meters, Time: 72.1 seconds
Name: -, Instruction: Turn slight right, Distance: 127.2 meters, Time: 91.6 seconds
Name: -, Instruction: Keep left, Distance: 61.0 meters, Time: 43.9 seconds
Name: -, Instruction: Turn slight right, Distance: 55.1 meters, Time: 39.7 seconds
Name: -, Instruction: Turn slight left, Distance: 2.4 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 25.4 meters, Time: 18.3 seconds
Name: -, Instruction: Turn right, Distance: 36.3 meters, Time: 26.2 seconds
Name: Cambridge Lane, Instruction: Keep left onto Cambridge Lane, Distance: 69.9 meters, Time: 50.3 seconds
Name: -, Instruction: Turn left, Distance: 169.1 meters, Time: 121.8 seconds
Name: O'Brien Street, Instruction: Turn right onto O'Brien Street, Distance: 37.0 meters, Time: 26.6 seconds
Name: -, Instruction: Turn left, Distance: 76.3 meters, Time: 54.9 seconds
Name: Wilson Street, Instruction: Turn right onto Wilson Street, Distance: 8.7 meters, Time: 6.2 seconds
Name: Anderson Street, Instruction: Turn right onto Anderson Street, Distance: 5.3 meters, Time: 3.8 seconds
Name: Zinnia Lane, Instruction: Turn left onto Zinnia Lane, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 326.9 meters, Time: 235.4 seconds
Name: -, Instruction: Turn left, Distance: 139.2 meters, Time: 100.2 seconds
Name: Waratah Street, Instruction: Turn right onto Waratah Street, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn left, Distance: 76.7 meters, Time: 55.2 seconds
Name: William Street, Instruction: Turn right onto William Street, Distance: 101.2 meters, Time: 72.9 seconds
Name: Melnotte Avenue, Instruction: Turn left onto Melnotte Avenue, Distance: 189.0 meters, Time: 136.1 seconds
Name: -, Instruction: Arrive at Melnotte Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
