Name: Rua General Espírito Santo Cardoso, Instruction: Head northeast on Rua General Espírito Santo Cardoso, Distance: 115.0 meters, Time: 82.8 seconds
Name: Rua Uruguai, Instruction: Turn left onto Rua Uruguai, Distance: 77.9 meters, Time: 56.1 seconds
Name: -, Instruction: Keep right, Distance: 77.2 meters, Time: 55.6 seconds
Name: Rua Uruguai, Instruction: Turn right onto Rua Uruguai, Distance: 177.7 meters, Time: 128.0 seconds
Name: -, Instruction: Keep right, Distance: 70.9 meters, Time: 51.0 seconds
Name: Rua Uruguai, Instruction: Turn slight right onto Rua Uruguai, Distance: 107.8 meters, Time: 77.6 seconds
Name: -, Instruction: Keep left, Distance: 376.8 meters, Time: 271.3 seconds
Name: Rua Uruguai, Instruction: Turn left onto Rua Uruguai, Distance: 206.2 meters, Time: 148.4 seconds
Name: Rua Uruguai, Instruction: Continue straight onto Rua Uruguai, Distance: 118.8 meters, Time: 85.5 seconds
Name: Rua Indaiaçu, Instruction: Turn left onto Rua Indaiaçu, Distance: 27.4 meters, Time: 19.7 seconds
Name: Rua Irati, Instruction: Turn slight right onto Rua Irati, Distance: 161.0 meters, Time: 115.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 112.2 meters, Time: 80.8 seconds
Name: -, Instruction: Turn slight left, Distance: 34.7 meters, Time: 24.9 seconds
Name: Rua Teodoro da Silva, Instruction: Turn left onto Rua Teodoro da Silva, Distance: 82.6 meters, Time: 59.5 seconds
Name: Rua Luís Barbosa, Instruction: Turn right onto Rua Luís Barbosa, Distance: 183.2 meters, Time: 131.9 seconds
Name: -, Instruction: Turn left, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 37.0 meters, Time: 26.6 seconds
Name: -, Instruction: Turn left, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn slight right, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 31.8 meters, Time: 22.9 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 40.0 meters, Time: 28.8 seconds
Name: Praça Barão de Drummond, Instruction: Turn left onto Praça Barão de Drummond, Distance: 10.6 meters, Time: 7.6 seconds
Name: Rua Barão de São Francisco, Instruction: Turn right onto Rua Barão de São Francisco, Distance: 130.6 meters, Time: 94.0 seconds
Name: -, Instruction: Arrive at Rua Barão de São Francisco, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
