Name: Voorjaar Street, Instruction: Head west on Voorjaar Street, Distance: 291.2 meters, Time: 209.6 seconds
Name: Winter Crescent, Instruction: Turn right onto Winter Crescent, Distance: 47.2 meters, Time: 34.0 seconds
Name: Winter Crescent, Instruction: Turn left onto Winter Crescent, Distance: 161.6 meters, Time: 116.4 seconds
Name: -, Instruction: Keep left, Distance: 123.4 meters, Time: 88.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 37.9 meters, Time: 27.3 seconds
Name: -, Instruction: Turn right, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn right, Distance: 196.5 meters, Time: 141.5 seconds
Name: -, Instruction: Turn right, Distance: 78.0 meters, Time: 56.2 seconds
Name: Calcium Road, Instruction: Turn left onto Calcium Road, Distance: 40.3 meters, Time: 29.0 seconds
Name: Blyvoor Street, Instruction: Turn left onto Blyvoor Street, Distance: 134.2 meters, Time: 96.6 seconds
Name: Bronze Street, Instruction: Turn left onto Bronze Street, Distance: 85.7 meters, Time: 61.7 seconds
Name: -, Instruction: Turn left, Distance: 89.8 meters, Time: 64.6 seconds
Name: Koperkring Road, Instruction: Turn left onto Koperkring Road, Distance: 226.9 meters, Time: 163.4 seconds
Name: -, Instruction: Arrive at Koperkring Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
