Name: West 34th Avenue, Instruction: Head west on West 34th Avenue, Distance: 8.5 meters, Time: 6.1 seconds
Name: Vrain Street, Instruction: Turn right onto Vrain Street, Distance: 372.0 meters, Time: 267.9 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 36.9 meters, Time: 26.5 seconds
Name: Utica Street, Instruction: Turn left onto Utica Street, Distance: 625.0 meters, Time: 450.0 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Keep right, Distance: 28.2 meters, Time: 20.3 seconds
Name: -, Instruction: Keep right, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
