Name: Evelyn Avenue, Instruction: Head southeast on Evelyn Avenue, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 112.2 meters, Time: 80.8 seconds
Name: -, Instruction: Turn right, Distance: 143.4 meters, Time: 103.2 seconds
Name: -, Instruction: Turn right, Distance: 74.3 meters, Time: 53.5 seconds
Name: -, Instruction: Turn left, Distance: 391.1 meters, Time: 281.6 seconds
Name: -, Instruction: Turn left, Distance: 697.1 meters, Time: 501.9 seconds
Name: -, Instruction: Turn slight right, Distance: 21.6 meters, Time: 15.5 seconds
Name: -, Instruction: Turn left, Distance: 135.9 meters, Time: 97.9 seconds
Name: -, Instruction: Turn left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 201.2 meters, Time: 144.9 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
