Name: شارع 12, Instruction: Head north on شارع 12, Distance: 66.3 meters, Time: 47.7 seconds
Name: -, Instruction: Turn right, Distance: 351.2 meters, Time: 252.9 seconds
Name: -, Instruction: Keep left, Distance: 61.0 meters, Time: 43.9 seconds
Name: طريق طلعت مصطفى, Instruction: Turn slight right onto طريق طلعت مصطفى, Distance: 94.6 meters, Time: 68.1 seconds
Name: طريق طلعت مصطفى, Instruction: Enter the roundabout and take the 3rd exit onto طريق طلعت مصطفى, Distance: 124.3 meters, Time: 89.5 seconds
Name: -, Instruction: Turn right, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 613.0 meters, Time: 441.4 seconds
Name: طريق طلعت مصطفى, Instruction: Turn slight right onto طريق طلعت مصطفى, Distance: 42.4 meters, Time: 30.6 seconds
Name: طريق الوادى, Instruction: Turn right onto طريق الوادى, Distance: 75.8 meters, Time: 54.6 seconds
Name: -, Instruction: Turn left, Distance: 19.2 meters, Time: 13.8 seconds
Name: طريق الوادى, Instruction: Turn right onto طريق الوادى, Distance: 170.9 meters, Time: 123.1 seconds
Name: -, Instruction: Keep left, Distance: 143.2 meters, Time: 103.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
