Name: Am Würmufer, Instruction: Head northeast on Am Würmufer, Distance: 18.8 meters, Time: 13.5 seconds
Name: Schlossparkpassage, Instruction: Turn left onto Schlossparkpassage, Distance: 63.2 meters, Time: 45.5 seconds
Name: Grubmühlerfeldstraße, Instruction: Turn right onto Grubmühlerfeldstraße, Distance: 13.2 meters, Time: 9.5 seconds
Name: Kreuzstraße, Instruction: Turn left onto Kreuzstraße, Distance: 181.7 meters, Time: 130.8 seconds
Name: -, Instruction: Turn slight right, Distance: 115.5 meters, Time: 83.1 seconds
Name: Bergstraße, Instruction: Turn right onto Bergstraße, Distance: 527.8 meters, Time: 380.0 seconds
Name: Bergstraße, Instruction: Turn left onto Bergstraße, Distance: 61.4 meters, Time: 44.2 seconds
Name: -, Instruction: Continue straight, Distance: 49.4 meters, Time: 35.6 seconds
Name: -, Instruction: Keep left, Distance: 231.0 meters, Time: 166.3 seconds
Name: Kreuzlingerforststraße, Instruction: Turn right onto Kreuzlingerforststraße, Distance: 300.2 meters, Time: 216.1 seconds
Name: -, Instruction: Turn right, Distance: 397.7 meters, Time: 286.3 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
