Name: Rue Alfred Laurant, Instruction: Head southeast on Rue Alfred Laurant, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn slight left, Distance: 84.4 meters, Time: 60.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Turn left, Distance: 59.4 meters, Time: 42.7 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 3.0 seconds
Name: Rue des Tilleuls, Instruction: Turn left onto Rue des Tilleuls, Distance: 413.4 meters, Time: 297.7 seconds
Name: Rue des Tilleuls, Instruction: Continue straight onto Rue des Tilleuls, Distance: 253.0 meters, Time: 182.1 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 40.8 meters, Time: 29.4 seconds
Name: -, Instruction: Turn right, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 84.9 meters, Time: 61.2 seconds
Name: -, Instruction: Turn slight left, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Keep right, Distance: 154.4 meters, Time: 111.2 seconds
Name: -, Instruction: Turn slight left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Keep right, Distance: 16.8 meters, Time: 12.1 seconds
Name: Avenue Robert Schuman, Instruction: Turn left onto Avenue Robert Schuman, Distance: 8.4 meters, Time: 6.0 seconds
Name: Rue du Château, D 102, Instruction: Keep right onto Rue du Château, D 102, Distance: 15.8 meters, Time: 11.4 seconds
Name: Rue Joseph Bernard, Instruction: Keep right onto Rue Joseph Bernard, Distance: 130.9 meters, Time: 94.3 seconds
Name: Rue Nungesser et Coli, Instruction: Turn left onto Rue Nungesser et Coli, Distance: 12.5 meters, Time: 9.0 seconds
Name: Allée Charles Brennus, Instruction: Turn right onto Allée Charles Brennus, Distance: 243.5 meters, Time: 175.4 seconds
Name: Avenue du Général Sarrail, Instruction: Turn left onto Avenue du Général Sarrail, Distance: 76.3 meters, Time: 54.9 seconds
Name: -, Instruction: Turn right, Distance: 117.7 meters, Time: 84.7 seconds
Name: -, Instruction: Turn left, Distance: 88.1 meters, Time: 63.4 seconds
Name: -, Instruction: Turn right, Distance: 27.6 meters, Time: 19.9 seconds
Name: -, Instruction: Turn left, Distance: 51.3 meters, Time: 36.9 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 145.3 meters, Time: 104.6 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 88.0 meters, Time: 63.4 seconds
Name: -, Instruction: Turn slight left, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn right, Distance: 14.8 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 152.7 meters, Time: 109.9 seconds
Name: -, Instruction: Turn left, Distance: 158.7 meters, Time: 114.2 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
