Name: Rue François Couperin, Instruction: Head southwest on Rue François Couperin, Distance: 81.9 meters, Time: 59.0 seconds
Name: Allée Mozart, Instruction: Turn right onto Allée Mozart, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 98.8 meters, Time: 71.1 seconds
Name: Rue Louis Blanc, D 106, Instruction: Turn left onto Rue Louis Blanc, D 106, Distance: 28.3 meters, Time: 20.4 seconds
Name: Allée de Picardie, Instruction: Turn right onto Allée de Picardie, Distance: 33.4 meters, Time: 24.0 seconds
Name: -, Instruction: Turn left, Distance: 35.3 meters, Time: 25.4 seconds
Name: -, Instruction: Turn right, Distance: 33.4 meters, Time: 24.0 seconds
Name: Allée de Picardie, Instruction: Turn left onto Allée de Picardie, Distance: 38.8 meters, Time: 28.0 seconds
Name: Allée Sainte-Odile, Instruction: Turn left onto Allée Sainte-Odile, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 37.6 meters, Time: 27.1 seconds
Name: -, Instruction: Continue straight, Distance: 43.5 meters, Time: 31.3 seconds
Name: -, Instruction: Continue straight, Distance: 37.5 meters, Time: 27.0 seconds
Name: -, Instruction: Turn right, Distance: 11.9 meters, Time: 8.6 seconds
Name: Cours Denis Diderot, Instruction: Turn left onto Cours Denis Diderot, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 100.6 meters, Time: 72.4 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: Place des Vosges, Instruction: Turn left onto Place des Vosges, Distance: 55.8 meters, Time: 40.2 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: Allée des Vosges, Instruction: Turn right onto Allée des Vosges, Distance: 84.0 meters, Time: 60.5 seconds
Name: -, Instruction: Keep left, Distance: 5.2 meters, Time: 3.8 seconds
Name: Parvis Rosa Bonheur, Instruction: Keep right onto Parvis Rosa Bonheur, Distance: 39.7 meters, Time: 28.6 seconds
Name: Parvis Rosa Bonheur, Instruction: Turn slight left onto Parvis Rosa Bonheur, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn right, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
