Name: Defu Lane 11, Instruction: Head southeast on Defu Lane 11, Distance: 241.7 meters, Time: 174.0 seconds
Name: Defu Lane 12, Instruction: Turn right onto Defu Lane 12, Distance: 173.6 meters, Time: 125.0 seconds
Name: -, Instruction: Turn right, Distance: 285.6 meters, Time: 205.6 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn slight right, Distance: 39.3 meters, Time: 28.3 seconds
Name: -, Instruction: Turn left, Distance: 46.5 meters, Time: 33.5 seconds
Name: -, Instruction: Turn right, Distance: 27.9 meters, Time: 20.1 seconds
Name: -, Instruction: Turn left, Distance: 206.8 meters, Time: 148.9 seconds
Name: -, Instruction: Turn right, Distance: 118.6 meters, Time: 85.4 seconds
Name: -, Instruction: Turn left, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn left, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Turn left, Distance: 23.8 meters, Time: 17.1 seconds
Name: -, Instruction: Turn slight right, Distance: 541.2 meters, Time: 389.7 seconds
Name: -, Instruction: Turn left, Distance: 87.9 meters, Time: 63.3 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
