Name: Rue Raymond Losserand, Instruction: Head northeast on Rue Raymond Losserand, Distance: 10.6 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Keep left, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Keep right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn right, Distance: 139.6 meters, Time: 100.5 seconds
Name: -, Instruction: Turn right, Distance: 39.2 meters, Time: 28.2 seconds
Name: Square Auguste Renoir, Instruction: Turn right onto Square Auguste Renoir, Distance: 74.2 meters, Time: 53.5 seconds
Name: -, Instruction: Turn left, Distance: 299.8 meters, Time: 215.8 seconds
Name: -, Instruction: Turn right, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn slight left, Distance: 74.3 meters, Time: 53.5 seconds
Name: -, Instruction: Turn right, Distance: 28.9 meters, Time: 20.8 seconds
Name: Boulevard Brune, Instruction: Turn left onto Boulevard Brune, Distance: 19.8 meters, Time: 14.2 seconds
Name: Rue Henry de Bournazel, Instruction: Turn right onto Rue Henry de Bournazel, Distance: 104.0 meters, Time: 74.9 seconds
Name: -, Instruction: Arrive at Rue Henry de Bournazel, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
