Name: Canberra Lane, Instruction: Head northeast on Canberra Lane, Distance: 148.8 meters, Time: 107.2 seconds
Name: Canberra Link, Instruction: Keep right onto Canberra Link, Distance: 6.9 meters, Time: 5.0 seconds
Name: Yishun Park Connector, Instruction: Turn right onto Yishun Park Connector, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 37.2 meters, Time: 26.8 seconds
Name: -, Instruction: Turn right, Distance: 150.7 meters, Time: 108.5 seconds
Name: -, Instruction: Turn right, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 34.8 meters, Time: 25.1 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 219.1 meters, Time: 157.7 seconds
Name: Simpang Kiri Park Connector, Instruction: Continue straight onto Simpang Kiri Park Connector, Distance: 41.9 meters, Time: 30.1 seconds
Name: -, Instruction: Turn slight right, Distance: 17.7 meters, Time: 12.7 seconds
Name: Yishun Industrial Park A, Instruction: Turn left onto Yishun Industrial Park A, Distance: 101.7 meters, Time: 73.2 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 162.2 meters, Time: 116.8 seconds
Name: -, Instruction: Turn right, Distance: 127.3 meters, Time: 91.6 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.2 seconds
Name: Yishun Industrial Park A, Instruction: Continue straight onto Yishun Industrial Park A, Distance: 86.3 meters, Time: 62.1 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 157.7 meters, Time: 113.6 seconds
Name: -, Instruction: Turn right, Distance: 105.6 meters, Time: 76.1 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: Yishun Industrial Park A, Instruction: Turn right onto Yishun Industrial Park A, Distance: 35.0 meters, Time: 25.2 seconds
Name: -, Instruction: Turn left, Distance: 173.7 meters, Time: 125.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
