Name: Connaught Gardens, Instruction: Head north on Connaught Gardens, Distance: 100.9 meters, Time: 72.7 seconds
Name: Cranley Gardens, Instruction: Turn sharp right onto Cranley Gardens, Distance: 89.8 meters, Time: 64.7 seconds
Name: Wood Vale, Instruction: Turn sharp right onto Wood Vale, Distance: 252.1 meters, Time: 181.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 69.7 meters, Time: 50.2 seconds
Name: -, Instruction: Turn right, Distance: 52.2 meters, Time: 37.6 seconds
Name: Shepherds Lane, Instruction: Turn left onto Shepherds Lane, Distance: 150.8 meters, Time: 108.6 seconds
Name: Cot Way, Instruction: Turn right onto Cot Way, Distance: 255.4 meters, Time: 183.9 seconds
Name: Cot Way, Instruction: Turn slight left onto Cot Way, Distance: 724.6 meters, Time: 521.7 seconds
Name: Crescent Road, Instruction: Turn slight right onto Crescent Road, Distance: 182.4 meters, Time: 131.3 seconds
Name: -, Instruction: Turn right, Distance: 45.5 meters, Time: 32.7 seconds
Name: Parkland Walk, Instruction: Turn left onto Parkland Walk, Distance: 23.4 meters, Time: 16.8 seconds
Name: -, Instruction: Turn right, Distance: 119.8 meters, Time: 86.2 seconds
Name: -, Instruction: Turn right, Distance: 139.6 meters, Time: 100.5 seconds
Name: Parkland Walk, Instruction: Turn slight right onto Parkland Walk, Distance: 5.3 meters, Time: 3.8 seconds
Name: Parkland Walk, Instruction: Continue straight onto Parkland Walk, Distance: 73.2 meters, Time: 52.7 seconds
Name: -, Instruction: Keep right, Distance: 55.9 meters, Time: 40.3 seconds
Name: -, Instruction: Turn slight left, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 87.8 meters, Time: 63.2 seconds
Name: Crouch Hill, A1201, Instruction: Turn right onto Crouch Hill, A1201, Distance: 30.2 meters, Time: 21.7 seconds
Name: Barnfield Close, Instruction: Turn left onto Barnfield Close, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 110.4 meters, Time: 79.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
