Name: Caddies Boulevarde, Instruction: Head northwest on Caddies Boulevarde, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 367.5 meters, Time: 264.6 seconds
Name: -, Instruction: Turn left, Distance: 34.6 meters, Time: 24.9 seconds
Name: -, Instruction: Turn right, Distance: 60.1 meters, Time: 43.3 seconds
Name: -, Instruction: Turn left, Distance: 376.7 meters, Time: 271.2 seconds
Name: -, Instruction: Turn left, Distance: 94.7 meters, Time: 68.2 seconds
Name: -, Instruction: Turn right, Distance: 198.9 meters, Time: 143.2 seconds
Name: -, Instruction: Turn left, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn right, Distance: 225.8 meters, Time: 162.5 seconds
Name: -, Instruction: Turn left, Distance: 54.9 meters, Time: 39.5 seconds
Name: -, Instruction: Turn right, Distance: 316.5 meters, Time: 227.9 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: Bentwood Terrace, Instruction: Turn left onto Bentwood Terrace, Distance: 150.1 meters, Time: 108.1 seconds
Name: Epsam Avenue, Instruction: Turn right onto Epsam Avenue, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Arrive at Epsam Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
