Name: King Street East, Instruction: Head northeast on King Street East, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 263.4 meters, Time: 189.6 seconds
Name: -, Instruction: Turn right, Distance: 279.8 meters, Time: 201.5 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 36.7 meters, Time: 26.4 seconds
Name: -, Instruction: Turn slight right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Keep left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 46.9 meters, Time: 33.8 seconds
Name: Old Brewery Lane, Instruction: Turn right onto Old Brewery Lane, Distance: 39.6 meters, Time: 28.5 seconds
Name: Old Brewery Lane, Instruction: Turn left onto Old Brewery Lane, Distance: 124.7 meters, Time: 89.8 seconds
Name: Raffeix Lane, Instruction: Turn right onto Raffeix Lane, Distance: 16.5 meters, Time: 11.9 seconds
Name: Raffeix Lane, Instruction: Turn left onto Raffeix Lane, Distance: 29.6 meters, Time: 21.3 seconds
Name: -, Instruction: Arrive at Raffeix Lane, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
