Name: Place d'Aligre, Instruction: Head southwest on Place d'Aligre, Distance: 111.6 meters, Time: 80.4 seconds
Name: Rue Émilio Castelar, Instruction: Continue straight onto Rue Émilio Castelar, Distance: 186.2 meters, Time: 134.0 seconds
Name: Rue de Charenton, Instruction: Turn right onto Rue de Charenton, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 39.3 meters, Time: 28.3 seconds
Name: -, Instruction: Turn left, Distance: 144.1 meters, Time: 103.7 seconds
Name: -, Instruction: Turn right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Keep left, Distance: 96.3 meters, Time: 69.3 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 25.6 meters, Time: 18.5 seconds
Name: -, Instruction: Keep left, Distance: 354.6 meters, Time: 255.3 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn right, Distance: 28.9 meters, Time: 20.8 seconds
Name: Place Mazas, Instruction: Turn left onto Place Mazas, Distance: 48.6 meters, Time: 35.0 seconds
Name: -, Instruction: Turn left, Distance: 191.8 meters, Time: 138.1 seconds
Name: -, Instruction: Turn right, Distance: 45.5 meters, Time: 32.8 seconds
Name: -, Instruction: Turn slight left, Distance: 6.2 meters, Time: 4.4 seconds
Name: Place Valhubert, Instruction: Turn right onto Place Valhubert, Distance: 2.7 meters, Time: 1.9 seconds
Name: Quai Saint-Bernard, Instruction: Keep left onto Quai Saint-Bernard, Distance: 485.4 meters, Time: 349.5 seconds
Name: -, Instruction: Turn left, Distance: 54.8 meters, Time: 39.5 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
