Name: شارع 8, Instruction: Head east on شارع 8, Distance: 68.3 meters, Time: 49.2 seconds
Name: شارع النافوره, Instruction: Turn left onto شارع النافوره, Distance: 49.0 meters, Time: 35.2 seconds
Name: شارع 21, Instruction: Turn right onto شارع 21, Distance: 17.2 meters, Time: 12.4 seconds
Name: شارع النافوره, Instruction: Turn left onto شارع النافوره, Distance: 62.3 meters, Time: 44.9 seconds
Name: شارع النافوره, Instruction: Enter the roundabout and take the 3rd exit onto شارع النافوره, Distance: 319.7 meters, Time: 230.2 seconds
Name: طريق المقطم, Instruction: Enter the roundabout and take the 2nd exit onto طريق المقطم, Distance: 295.5 meters, Time: 212.7 seconds
Name: طريق محطة الاذاعه و التلفزيون, Instruction: Enter the roundabout and take the 1st exit onto طريق محطة الاذاعه و التلفزيون, Distance: 374.2 meters, Time: 269.5 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 643.4 meters, Time: 463.2 seconds
Name: -, Instruction: Turn left, Distance: 128.3 meters, Time: 92.4 seconds
Name: -, Instruction: Turn right, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
