Name: Von-Stauffenberg-Straße, Instruction: Head west on Von-Stauffenberg-Straße, Distance: 178.1 meters, Time: 128.2 seconds
Name: Am Hachinger Bach, Instruction: Turn left onto Am Hachinger Bach, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 121.7 meters, Time: 87.6 seconds
Name: -, Instruction: Turn slight left, Distance: 9.9 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 15.9 meters, Time: 11.5 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Keep left, Distance: 202.2 meters, Time: 145.6 seconds
Name: -, Instruction: Keep right, Distance: 19.8 meters, Time: 14.3 seconds
Name: Münchner Straße, Instruction: Turn right onto Münchner Straße, Distance: 16.2 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 20.0 meters, Time: 14.4 seconds
Name: Münchner Straße, Instruction: Turn left onto Münchner Straße, Distance: 45.6 meters, Time: 32.8 seconds
Name: Münchner Straße, Instruction: Continue straight onto Münchner Straße, Distance: 90.9 meters, Time: 65.5 seconds
Name: -, Instruction: Turn right, Distance: 65.1 meters, Time: 46.9 seconds
Name: Fasanenstraße, Instruction: Keep left onto Fasanenstraße, Distance: 802.8 meters, Time: 578.0 seconds
Name: Winterstraße, Instruction: Turn left onto Winterstraße, Distance: 137.0 meters, Time: 98.6 seconds
Name: Lohestraße, Instruction: Turn right onto Lohestraße, Distance: 182.5 meters, Time: 131.4 seconds
Name: Sommerstraße, Instruction: Turn left onto Sommerstraße, Distance: 83.9 meters, Time: 60.4 seconds
Name: -, Instruction: Arrive at Sommerstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
