Name: Erzgießereistraße, Instruction: Head north on Erzgießereistraße, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 347.7 meters, Time: 250.3 seconds
Name: Lothstraße, Instruction: Turn left onto Lothstraße, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Keep right, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 94.4 meters, Time: 68.0 seconds
Name: Maillingerstraße, Instruction: Turn left onto Maillingerstraße, Distance: 271.3 meters, Time: 195.4 seconds
Name: Elvirastraße, Instruction: Turn right onto Elvirastraße, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 151.7 meters, Time: 109.2 seconds
Name: -, Instruction: Turn right, Distance: 210.5 meters, Time: 151.6 seconds
Name: -, Instruction: Turn left, Distance: 44.4 meters, Time: 32.0 seconds
Name: Arnulfstraße, Instruction: Turn left onto Arnulfstraße, Distance: 14.5 meters, Time: 10.5 seconds
Name: Helmholtzstraße, Instruction: Turn right onto Helmholtzstraße, Distance: 85.2 meters, Time: 61.3 seconds
Name: -, Instruction: Keep right, Distance: 92.4 meters, Time: 66.5 seconds
Name: -, Instruction: Turn left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 82.4 meters, Time: 59.3 seconds
Name: Luise-Ullrich-Straße, Instruction: Turn left onto Luise-Ullrich-Straße, Distance: 9.8 meters, Time: 7.1 seconds
Name: Lilli-Palmer-Straße, Instruction: Turn right onto Lilli-Palmer-Straße, Distance: 109.4 meters, Time: 78.7 seconds
Name: -, Instruction: Turn right, Distance: 92.4 meters, Time: 66.6 seconds
Name: -, Instruction: Turn right, Distance: 28.3 meters, Time: 20.4 seconds
Name: -, Instruction: Turn left, Distance: 30.9 meters, Time: 22.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
