Name: Sabana Place, Instruction: Head south on Sabana Place, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 73.4 meters, Time: 52.8 seconds
Name: -, Instruction: Turn right, Distance: 84.5 meters, Time: 60.8 seconds
Name: -, Instruction: Turn right, Distance: 71.1 meters, Time: 51.2 seconds
Name: -, Instruction: Turn slight left, Distance: 251.2 meters, Time: 180.9 seconds
Name: -, Instruction: Turn right, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 33.1 meters, Time: 23.8 seconds
Name: -, Instruction: Turn left, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 132.9 meters, Time: 95.7 seconds
Name: -, Instruction: Turn left, Distance: 93.8 meters, Time: 67.5 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.3 seconds
Name: Tableau Place, Instruction: Turn left onto Tableau Place, Distance: 100.9 meters, Time: 72.7 seconds
Name: Athena Drive, Instruction: Turn right onto Athena Drive, Distance: 45.1 meters, Time: 32.5 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 197.4 meters, Time: 142.1 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.3 seconds
Name: Theban Place, Instruction: Continue straight onto Theban Place, Distance: 117.7 meters, Time: 84.7 seconds
Name: Theban Place, Instruction: Keep left onto Theban Place, Distance: 25.2 meters, Time: 18.1 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
