Name: Luella Price Lane, Instruction: Head west on Luella Price Lane, Distance: 90.8 meters, Time: 65.4 seconds
Name: Greenwood Avenue, Instruction: Turn left onto Greenwood Avenue, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 265.0 meters, Time: 190.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 174.6 meters, Time: 125.7 seconds
Name: -, Instruction: Turn right, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Turn left, Distance: 99.5 meters, Time: 71.7 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.4 seconds
Name: Harriet Street, Instruction: Turn left onto Harriet Street, Distance: 7.2 meters, Time: 5.2 seconds
Name: Leslie Street, Instruction: Turn right onto Leslie Street, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 39.8 meters, Time: 28.6 seconds
Name: -, Instruction: Turn left, Distance: 102.2 meters, Time: 73.6 seconds
Name: Bushell Avenue, Instruction: Turn right onto Bushell Avenue, Distance: 4.4 meters, Time: 3.2 seconds
Name: Myrtle Avenue, Instruction: Turn left onto Myrtle Avenue, Distance: 98.1 meters, Time: 70.7 seconds
Name: -, Instruction: Turn right, Distance: 123.2 meters, Time: 88.7 seconds
Name: -, Instruction: Turn left, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Keep left, Distance: 89.8 meters, Time: 64.6 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: Boultbee Avenue, Instruction: Turn left onto Boultbee Avenue, Distance: 86.3 meters, Time: 62.1 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Keep right, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Turn left, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn right, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn left, Distance: 127.8 meters, Time: 92.0 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 35.6 meters, Time: 25.6 seconds
Name: -, Instruction: Turn right, Distance: 86.9 meters, Time: 62.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 196.7 meters, Time: 141.6 seconds
Name: -, Instruction: Turn right, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn slight left, Distance: 36.5 meters, Time: 26.3 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 2.9 seconds
Name: Carlaw Avenue, Instruction: Turn right onto Carlaw Avenue, Distance: 299.4 meters, Time: 215.5 seconds
Name: Withrow Park Trail, Instruction: Turn left onto Withrow Park Trail, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Keep right, Distance: 162.9 meters, Time: 117.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
