Name: Belgravia Road, Instruction: Head south on Belgravia Road, Distance: 292.7 meters, Time: 210.7 seconds
Name: Repulse Road, Instruction: Turn left onto Repulse Road, Distance: 87.1 meters, Time: 62.7 seconds
Name: Wens Road, Instruction: Turn right onto Wens Road, Distance: 73.5 meters, Time: 52.9 seconds
Name: -, Instruction: Turn left, Distance: 141.6 meters, Time: 101.9 seconds
Name: Fleur Road, Instruction: Turn right onto Fleur Road, Distance: 114.9 meters, Time: 82.7 seconds
Name: -, Instruction: Turn slight left, Distance: 40.4 meters, Time: 29.1 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: Amethyst Crescent, Instruction: Turn left onto Amethyst Crescent, Distance: 98.7 meters, Time: 71.0 seconds
Name: Penlyn Avenue, Instruction: Turn left onto Penlyn Avenue, Distance: 141.1 meters, Time: 101.6 seconds
Name: -, Instruction: Turn right, Distance: 340.3 meters, Time: 245.0 seconds
Name: Arlington Road, Instruction: Turn left onto Arlington Road, Distance: 58.2 meters, Time: 41.9 seconds
Name: -, Instruction: Turn left, Distance: 94.8 meters, Time: 68.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 144.4 meters, Time: 104.0 seconds
Name: -, Instruction: Turn left, Distance: 84.4 meters, Time: 60.8 seconds
Name: -, Instruction: Turn right, Distance: 83.6 meters, Time: 60.2 seconds
Name: -, Instruction: Turn left, Distance: 114.6 meters, Time: 82.5 seconds
Name: Lynath Walk, Instruction: Turn slight right onto Lynath Walk, Distance: 99.3 meters, Time: 71.5 seconds
Name: Athsur Walk, Instruction: Continue straight onto Athsur Walk, Distance: 163.5 meters, Time: 117.7 seconds
Name: Blomvlei Road, Instruction: Turn left onto Blomvlei Road, Distance: 111.1 meters, Time: 80.0 seconds
Name: Blomvlei Road, Instruction: Turn left onto Blomvlei Road, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Arrive at Blomvlei Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
