Name: Colleen Way, Instruction: Head southeast on Colleen Way, Distance: 135.7 meters, Time: 97.7 seconds
Name: Emerald Way, Instruction: Turn left onto Emerald Way, Distance: 90.7 meters, Time: 65.3 seconds
Name: Summer Greens Drive, Instruction: Turn left onto Summer Greens Drive, Distance: 73.7 meters, Time: 53.1 seconds
Name: Summer Greens Drive, Instruction: Enter the roundabout and take the 1st exit onto Summer Greens Drive, Distance: 181.7 meters, Time: 130.8 seconds
Name: Summer Greens Drive, Instruction: Keep left onto Summer Greens Drive, Distance: 335.2 meters, Time: 241.3 seconds
Name: Summer Greens Drive, Instruction: Keep right onto Summer Greens Drive, Distance: 104.9 meters, Time: 75.5 seconds
Name: -, Instruction: Enter the roundabout and take the 3rd exit, Distance: 81.4 meters, Time: 58.6 seconds
Name: -, Instruction: Turn left, Distance: 68.8 meters, Time: 49.5 seconds
Name: -, Instruction: Turn left, Distance: 14.5 meters, Time: 10.4 seconds
Name: Century Avenue, Instruction: Turn right onto Century Avenue, Distance: 100.4 meters, Time: 72.3 seconds
Name: Century Avenue, Instruction: Enter the roundabout and take the 2nd exit onto Century Avenue, Distance: 182.0 meters, Time: 131.0 seconds
Name: -, Instruction: Turn left, Distance: 15.9 meters, Time: 11.4 seconds
Name: Century Avenue, Instruction: Turn right onto Century Avenue, Distance: 24.3 meters, Time: 17.5 seconds
Name: Oxbow Crescent, Instruction: Enter the roundabout and take the 1st exit onto Oxbow Crescent, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Turn right, Distance: 12.3 meters, Time: 8.9 seconds
Name: Oxbow Crescent, Instruction: Turn right onto Oxbow Crescent, Distance: 13.8 meters, Time: 9.9 seconds
Name: Century Avenue, Instruction: Enter the roundabout and take the 1st exit onto Century Avenue, Distance: 177.0 meters, Time: 127.4 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 49.2 meters, Time: 35.4 seconds
Name: -, Instruction: Turn right, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn left, Distance: 647.2 meters, Time: 466.0 seconds
Name: -, Instruction: Turn left, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
