Name: Wentworth Street, Instruction: Head southeast on Wentworth Street, Distance: 96.5 meters, Time: 69.4 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 65.7 meters, Time: 47.3 seconds
Name: -, Instruction: Turn left, Distance: 41.4 meters, Time: 29.8 seconds
Name: -, Instruction: Turn right, Distance: 172.2 meters, Time: 124.0 seconds
Name: -, Instruction: Continue straight, Distance: 128.9 meters, Time: 92.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 165.2 meters, Time: 119.0 seconds
Name: -, Instruction: Turn left, Distance: 281.1 meters, Time: 202.4 seconds
Name: -, Instruction: Continue straight, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Keep left, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Keep left, Distance: 26.3 meters, Time: 18.9 seconds
Name: -, Instruction: Turn slight left, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Continue straight, Distance: 363.8 meters, Time: 261.9 seconds
Name: -, Instruction: Turn right, Distance: 74.2 meters, Time: 53.4 seconds
Name: -, Instruction: Keep left, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
