Name: Rue Jean-Goujon, Instruction: Head east on Rue Jean-Goujon, Distance: 278.3 meters, Time: 200.4 seconds
Name: Avenue du Général-Eisenhower, Instruction: Continue straight onto Avenue du Général-Eisenhower, Distance: 227.8 meters, Time: 164.0 seconds
Name: -, Instruction: Turn right, Distance: 29.5 meters, Time: 21.2 seconds
Name: Promenade des Champs-Élysées, Instruction: Continue straight onto Promenade des Champs-Élysées, Distance: 116.5 meters, Time: 83.9 seconds
Name: -, Instruction: Turn left, Distance: 46.4 meters, Time: 33.4 seconds
Name: Promenade des Champs-Élysées, Instruction: Turn right onto Promenade des Champs-Élysées, Distance: 93.3 meters, Time: 67.2 seconds
Name: -, Instruction: Turn left, Distance: 37.5 meters, Time: 27.0 seconds
Name: Allée Marcel Proust, Instruction: Turn right onto Allée Marcel Proust, Distance: 32.8 meters, Time: 23.6 seconds
Name: Allée Marcel Proust, Instruction: Turn right onto Allée Marcel Proust, Distance: 154.8 meters, Time: 111.5 seconds
Name: -, Instruction: Turn left, Distance: 44.1 meters, Time: 31.7 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.9 seconds
Name: Place de la Concorde, Instruction: Continue straight onto Place de la Concorde, Distance: 130.6 meters, Time: 94.0 seconds
Name: -, Instruction: Arrive at Place de la Concorde, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
