Name: Lightbourn Avenue, Instruction: Head south on Lightbourn Avenue, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 144.9 meters, Time: 104.3 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 0.7 meters, Time: 0.5 seconds
Name: -, Instruction: Keep left, Distance: 217.6 meters, Time: 156.7 seconds
Name: -, Instruction: Keep left, Distance: 97.2 meters, Time: 70.0 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 121.9 meters, Time: 87.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 31.4 meters, Time: 22.6 seconds
Name: -, Instruction: Turn left, Distance: 225.6 meters, Time: 162.4 seconds
Name: -, Instruction: Keep left, Distance: 257.4 meters, Time: 185.4 seconds
Name: -, Instruction: Turn left, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Turn right, Distance: 28.2 meters, Time: 20.3 seconds
Name: -, Instruction: Turn left, Distance: 114.1 meters, Time: 82.1 seconds
Name: -, Instruction: Keep right, Distance: 60.8 meters, Time: 43.8 seconds
Name: -, Instruction: Keep right, Distance: 17.6 meters, Time: 12.6 seconds
Name: -, Instruction: Turn slight right, Distance: 53.2 meters, Time: 38.3 seconds
Name: Grieves Avenue, Instruction: Turn left onto Grieves Avenue, Distance: 9.3 meters, Time: 6.7 seconds
Name: Prescott Avenue, Instruction: Turn right onto Prescott Avenue, Distance: 242.9 meters, Time: 174.9 seconds
Name: Rockwell Avenue, Instruction: Turn left onto Rockwell Avenue, Distance: 43.5 meters, Time: 31.3 seconds
Name: Prescott Avenue, Instruction: Turn right onto Prescott Avenue, Distance: 596.5 meters, Time: 429.5 seconds
Name: -, Instruction: Arrive at Prescott Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
