Name: 平和公園通り, Instruction: Head north on 平和公園通り, Distance: 119.3 meters, Time: 85.9 seconds
Name: -, Instruction: Turn left, Distance: 129.8 meters, Time: 93.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn left, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn right, Distance: 78.9 meters, Time: 56.8 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 74.6 meters, Time: 53.7 seconds
Name: -, Instruction: Turn left, Distance: 56.5 meters, Time: 40.7 seconds
Name: -, Instruction: Turn right, Distance: 169.6 meters, Time: 122.1 seconds
Name: -, Instruction: Turn right, Distance: 35.4 meters, Time: 25.5 seconds
Name: -, Instruction: Turn left, Distance: 250.4 meters, Time: 180.3 seconds
Name: -, Instruction: Turn right, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Turn left, Distance: 38.8 meters, Time: 28.0 seconds
Name: -, Instruction: Turn right, Distance: 45.3 meters, Time: 32.7 seconds
Name: -, Instruction: Turn left, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 43.1 meters, Time: 31.0 seconds
Name: -, Instruction: Turn left, Distance: 196.2 meters, Time: 141.3 seconds
Name: -, Instruction: Turn right, Distance: 50.4 meters, Time: 36.3 seconds
Name: 新青梅街道, 440, Instruction: Turn left onto 新青梅街道, 440, Distance: 57.1 meters, Time: 41.1 seconds
Name: -, Instruction: Turn right, Distance: 92.8 meters, Time: 66.8 seconds
Name: -, Instruction: Turn left, Distance: 38.4 meters, Time: 27.7 seconds
Name: -, Instruction: Turn right, Distance: 45.3 meters, Time: 32.6 seconds
Name: -, Instruction: Turn left, Distance: 97.8 meters, Time: 70.4 seconds
Name: -, Instruction: Turn right, Distance: 143.0 meters, Time: 103.0 seconds
Name: -, Instruction: Turn left, Distance: 219.9 meters, Time: 158.3 seconds
Name: -, Instruction: Turn right, Distance: 130.5 meters, Time: 94.0 seconds
Name: -, Instruction: Keep right, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
