Name: Monk's Hill Road, Instruction: Head north on Monk's Hill Road, Distance: 146.9 meters, Time: 105.8 seconds
Name: -, Instruction: Turn right, Distance: 90.2 meters, Time: 65.0 seconds
Name: -, Instruction: Turn left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 79.8 meters, Time: 57.5 seconds
Name: -, Instruction: Keep left, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Turn left, Distance: 87.5 meters, Time: 63.0 seconds
Name: -, Instruction: Turn slight right, Distance: 12.0 meters, Time: 8.6 seconds
Name: Kampong Java Road, Instruction: Turn left onto Kampong Java Road, Distance: 2.2 meters, Time: 1.6 seconds
Name: Keng Lee Road, Instruction: Enter the roundabout and take the 1st exit onto Keng Lee Road, Distance: 31.3 meters, Time: 22.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 201.2 meters, Time: 144.9 seconds
Name: -, Instruction: Turn left, Distance: 161.9 meters, Time: 116.6 seconds
Name: Dunearn Road, Instruction: Turn slight left onto Dunearn Road, Distance: 0.5 meters, Time: 0.3 seconds
Name: Dunearn Road, Instruction: Turn slight right onto Dunearn Road, Distance: 234.4 meters, Time: 168.7 seconds
Name: -, Instruction: Turn left, Distance: 67.2 meters, Time: 48.4 seconds
Name: -, Instruction: Turn slight left, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn right, Distance: 56.5 meters, Time: 40.7 seconds
Name: -, Instruction: Continue straight, Distance: 15.2 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 243.1 meters, Time: 175.0 seconds
Name: -, Instruction: Turn left, Distance: 355.6 meters, Time: 256.0 seconds
Name: -, Instruction: Turn left, Distance: 3.3 meters, Time: 2.4 seconds
Name: Ewe Boon Road, Instruction: Turn left onto Ewe Boon Road, Distance: 46.8 meters, Time: 33.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
