Name: Addiscombe Road, Instruction: Head northwest on Addiscombe Road, Distance: 215.2 meters, Time: 155.0 seconds
Name: -, Instruction: Turn right, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 237.4 meters, Time: 170.9 seconds
Name: -, Instruction: Keep right, Distance: 66.9 meters, Time: 48.2 seconds
Name: -, Instruction: Keep left, Distance: 92.4 meters, Time: 66.5 seconds
Name: -, Instruction: Turn left, Distance: 96.0 meters, Time: 69.1 seconds
Name: The Mall, Instruction: Turn right onto The Mall, Distance: 122.6 meters, Time: 88.3 seconds
Name: Wellesley Passage, Instruction: Turn left onto Wellesley Passage, Distance: 80.8 meters, Time: 58.2 seconds
Name: -, Instruction: Turn right, Distance: 112.6 meters, Time: 81.1 seconds
Name: -, Instruction: Turn slight left, Distance: 5.7 meters, Time: 4.1 seconds
Name: North End, Instruction: Turn right onto North End, Distance: 4.3 meters, Time: 3.1 seconds
Name: North End, Instruction: Turn slight left onto North End, Distance: 43.4 meters, Time: 31.2 seconds
Name: London Road, Instruction: Continue straight onto London Road, Distance: 647.7 meters, Time: 466.3 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
