Name: شارع حورس, Instruction: Head west on شارع حورس, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 91.5 meters, Time: 65.9 seconds
Name: شارع البردي, Instruction: Turn right onto شارع البردي, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 15.8 meters, Time: 11.4 seconds
Name: شارع البردي, Instruction: Turn left onto شارع البردي, Distance: 57.2 meters, Time: 41.2 seconds
Name: شارع محمد فوزي, Instruction: Keep right onto شارع محمد فوزي, Distance: 82.9 meters, Time: 59.7 seconds
Name: شارع محمد فوزي, Instruction: Continue straight onto شارع محمد فوزي, Distance: 117.8 meters, Time: 84.8 seconds
Name: شارع محمد فوزي, Instruction: Continue straight onto شارع محمد فوزي, Distance: 144.5 meters, Time: 104.1 seconds
Name: -, Instruction: Turn left, Distance: 10.1 meters, Time: 7.3 seconds
Name: شارع محمد فوزي, Instruction: Turn right onto شارع محمد فوزي, Distance: 134.4 meters, Time: 96.8 seconds
Name: شارع رمسيس نجيب, Instruction: Turn slight left onto شارع رمسيس نجيب, Distance: 43.3 meters, Time: 31.2 seconds
Name: شارع رمسيس نجيب, Instruction: Continue straight onto شارع رمسيس نجيب, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Turn right, Distance: 18.5 meters, Time: 13.3 seconds
Name: شارع رمسيس نجيب, Instruction: Turn right onto شارع رمسيس نجيب, Distance: 97.6 meters, Time: 70.3 seconds
Name: شارع هنرى بركات, Instruction: Keep left onto شارع هنرى بركات, Distance: 77.5 meters, Time: 55.8 seconds
Name: شارع هنرى بركات, Instruction: Continue straight onto شارع هنرى بركات, Distance: 111.5 meters, Time: 80.3 seconds
Name: شارع عز الدين ذو الفقار, Instruction: Turn right onto شارع عز الدين ذو الفقار, Distance: 11.1 meters, Time: 8.0 seconds
Name: شارع هنرى بركات, Instruction: Turn left onto شارع هنرى بركات, Distance: 66.1 meters, Time: 47.6 seconds
Name: -, Instruction: Keep right, Distance: 44.5 meters, Time: 32.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
