Name: John Prince's Street, Instruction: Head northwest on John Prince's Street, Distance: 58.3 meters, Time: 41.9 seconds
Name: -, Instruction: Turn left, Distance: 90.2 meters, Time: 64.9 seconds
Name: -, Instruction: Turn right, Distance: 157.8 meters, Time: 113.6 seconds
Name: -, Instruction: Turn slight right, Distance: 14.8 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 80.4 meters, Time: 57.9 seconds
Name: -, Instruction: Turn left, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn slight left, Distance: 128.1 meters, Time: 92.2 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: Marylebone Lane, Instruction: Turn right onto Marylebone Lane, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 116.2 meters, Time: 83.7 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: Marylebone Lane, Instruction: Turn right onto Marylebone Lane, Distance: 168.3 meters, Time: 121.2 seconds
Name: -, Instruction: Turn right, Distance: 25.6 meters, Time: 18.5 seconds
Name: -, Instruction: Turn left, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn right, Distance: 40.9 meters, Time: 29.5 seconds
Name: -, Instruction: Turn left, Distance: 42.8 meters, Time: 30.8 seconds
Name: Cramer Street, Instruction: Turn right onto Cramer Street, Distance: 112.3 meters, Time: 80.8 seconds
Name: Moxon Street, Instruction: Turn left onto Moxon Street, Distance: 4.8 meters, Time: 3.4 seconds
Name: Garbutt Place, Instruction: Turn right onto Garbutt Place, Distance: 3.5 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn right, Distance: 78.7 meters, Time: 56.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
