Name: M 4, Instruction: Head northeast on M 4, Distance: 47.9 meters, Time: 34.5 seconds
Name: Maxhofweg, Instruction: Turn left onto Maxhofweg, Distance: 152.6 meters, Time: 109.9 seconds
Name: Maxhofweg, Instruction: Enter the roundabout and take the 3rd exit onto Maxhofweg, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 135.3 meters, Time: 97.4 seconds
Name: -, Instruction: Turn right, Distance: 33.4 meters, Time: 24.0 seconds
Name: Franz-Schuster-Straße, Instruction: Turn slight right onto Franz-Schuster-Straße, Distance: 33.0 meters, Time: 23.8 seconds
Name: Kirchweg, Instruction: Turn left onto Kirchweg, Distance: 93.8 meters, Time: 67.5 seconds
Name: -, Instruction: Turn right, Distance: 37.2 meters, Time: 26.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 30.4 meters, Time: 21.9 seconds
Name: Gautinger Straße, Instruction: Turn right onto Gautinger Straße, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 43.4 meters, Time: 31.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
