Name: Boulevard Raspail, Instruction: Head south on Boulevard Raspail, Distance: 10.7 meters, Time: 7.7 seconds
Name: Place Denfert-Rochereau, Instruction: Turn right onto Place Denfert-Rochereau, Distance: 24.3 meters, Time: 17.5 seconds
Name: Rue Victor Considerant, Instruction: Keep right onto Rue Victor Considerant, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 41.7 meters, Time: 30.0 seconds
Name: -, Instruction: Turn right, Distance: 297.9 meters, Time: 214.5 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn slight right, Distance: 82.7 meters, Time: 59.5 seconds
Name: -, Instruction: Turn left, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 61.3 meters, Time: 44.1 seconds
Name: -, Instruction: Keep left, Distance: 154.3 meters, Time: 111.1 seconds
Name: -, Instruction: Keep left, Distance: 56.3 meters, Time: 40.5 seconds
Name: -, Instruction: Turn slight left, Distance: 28.3 meters, Time: 20.4 seconds
Name: -, Instruction: Turn right, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 29.3 meters, Time: 21.1 seconds
Name: Rue de l'Ouest, Instruction: Turn left onto Rue de l'Ouest, Distance: 199.3 meters, Time: 143.5 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Turn right, Distance: 0.6 meters, Time: 0.5 seconds
Name: -, Instruction: Turn left, Distance: 35.9 meters, Time: 25.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
