Name: Mill Creek Fire Trail, Instruction: Head north on Mill Creek Fire Trail, Distance: 319.0 meters, Time: 229.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 505.6 meters, Time: 364.0 seconds
Name: -, Instruction: Turn right, Distance: 98.1 meters, Time: 70.6 seconds
Name: -, Instruction: Turn right, Distance: 45.8 meters, Time: 32.9 seconds
Name: -, Instruction: Turn left, Distance: 112.9 meters, Time: 81.3 seconds
Name: -, Instruction: Turn right, Distance: 154.1 meters, Time: 110.9 seconds
Name: -, Instruction: Turn right, Distance: 300.4 meters, Time: 216.3 seconds
Name: -, Instruction: Turn slight left, Distance: 79.5 meters, Time: 57.2 seconds
Name: -, Instruction: Keep right, Distance: 526.2 meters, Time: 378.9 seconds
Name: -, Instruction: Keep left, Distance: 175.0 meters, Time: 126.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
