Name: Inglewood Drive, Instruction: Head west on Inglewood Drive, Distance: 989.6 meters, Time: 712.5 seconds
Name: -, Instruction: Turn left, Distance: 223.5 meters, Time: 160.9 seconds
Name: -, Instruction: Keep right, Distance: 159.0 meters, Time: 114.5 seconds
Name: -, Instruction: Turn right, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 87.4 meters, Time: 62.9 seconds
Name: -, Instruction: Keep left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn slight left, Distance: 107.0 meters, Time: 77.1 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 480.4 meters, Time: 345.9 seconds
Name: -, Instruction: Keep left, Distance: 168.6 meters, Time: 121.4 seconds
Name: -, Instruction: Turn right, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
