Name: DTC Parkway, Instruction: Head west on DTC Parkway, Distance: 39.0 meters, Time: 28.1 seconds
Name: -, Instruction: Turn right, Distance: 21.8 meters, Time: 15.7 seconds
Name: -, Instruction: Turn right, Distance: 444.8 meters, Time: 320.3 seconds
Name: Viridian, Instruction: Turn right onto Viridian, Distance: 20.1 meters, Time: 14.5 seconds
Name: South Valentia Way, Instruction: Turn left onto South Valentia Way, Distance: 16.3 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn left, Distance: 140.6 meters, Time: 101.3 seconds
Name: East Prentice Avenue, Instruction: Turn right onto East Prentice Avenue, Distance: 106.3 meters, Time: 76.5 seconds
Name: DTC Boulevard, Instruction: Turn right onto DTC Boulevard, Distance: 122.3 meters, Time: 88.0 seconds
Name: -, Instruction: Keep left, Distance: 109.1 meters, Time: 78.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
