Name: Manitoba Street, Instruction: Head east on Manitoba Street, Distance: 205.5 meters, Time: 148.0 seconds
Name: -, Instruction: Continue straight, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn slight left, Distance: 360.0 meters, Time: 259.2 seconds
Name: -, Instruction: Keep left, Distance: 189.5 meters, Time: 136.4 seconds
Name: -, Instruction: Turn right, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn left, Distance: 22.0 meters, Time: 15.8 seconds
Name: -, Instruction: Turn right, Distance: 101.1 meters, Time: 72.8 seconds
Name: -, Instruction: Turn left, Distance: 476.5 meters, Time: 343.1 seconds
Name: -, Instruction: Turn right, Distance: 24.5 meters, Time: 17.6 seconds
Name: -, Instruction: Turn left, Distance: 54.6 meters, Time: 39.3 seconds
Name: -, Instruction: Turn left, Distance: 34.7 meters, Time: 24.9 seconds
Name: -, Instruction: Turn right, Distance: 111.9 meters, Time: 80.6 seconds
Name: -, Instruction: Turn left, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn left, Distance: 20.6 meters, Time: 14.8 seconds
Name: Queensway-Humber Access, Instruction: Turn right onto Queensway-Humber Access, Distance: 380.4 meters, Time: 273.9 seconds
Name: Humber CX Run Up, Instruction: Turn slight right onto Humber CX Run Up, Distance: 385.4 meters, Time: 277.5 seconds
Name: Humber Waste, Instruction: Continue straight onto Humber Waste, Distance: 50.6 meters, Time: 36.4 seconds
Name: -, Instruction: Arrive at Humber Waste, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
